directory,filename,file_ext,size_bytes,size_kib,size_kb,size_mib,size_mb,rel_path,full_path
Herbarium Sheets,4000-1-10663_1.jpg,jpg,78155,76.3,78,0.1,0,Herbarium Sheets/4000-1-10663_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10810_1.jpg,jpg,90237,88.1,90,0.1,0,Herbarium Sheets/4000-1-10810_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10053_1.jpg,jpg,78235,76.4,78,0.1,0,Herbarium Sheets/4000-1-10053_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10855_1.jpg,jpg,81094,79.2,81,0.1,0,Herbarium Sheets/4000-1-10855_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6859_1.jpg,jpg,58003,56.6,58,0.1,0,Herbarium Sheets/4000-1-6859_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11053_1.jpg,jpg,97024,94.8,97,0.1,0,Herbarium Sheets/4000-1-11053_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11016_1.jpg,jpg,67431,65.9,67,0.1,0,Herbarium Sheets/4000-1-11016_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11093_1.jpg,jpg,68142,66.5,68,0.1,0,Herbarium Sheets/4000-1-11093_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10093_1.jpg,jpg,85172,83.2,85,0.1,0,Herbarium Sheets/4000-1-10093_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10868_1.jpg,jpg,73756,72,74,0.1,0,Herbarium Sheets/4000-1-10868_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6842_2.jpg,jpg,105387,102.9,105,0.1,0,Herbarium Sheets/4000-1-6842_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6821_1.jpg,jpg,70709,69.1,71,0.1,0,Herbarium Sheets/4000-1-6821_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6864_1.jpg,jpg,81154,79.3,81,0.1,0,Herbarium Sheets/4000-1-6864_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10814_1.jpg,jpg,73830,72.1,74,0.1,0,Herbarium Sheets/4000-1-10814_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10057_1.jpg,jpg,75196,73.4,75,0.1,0,Herbarium Sheets/4000-1-10057_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10851_1.jpg,jpg,55714,54.4,56,0.1,0,Herbarium Sheets/4000-1-10851_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11057_1.jpg,jpg,76974,75.2,77,0.1,0,Herbarium Sheets/4000-1-11057_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10877_2.jpg,jpg,96716,94.4,97,0.1,0,Herbarium Sheets/4000-1-10877_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11012_1.jpg,jpg,114138,111.5,114,0.1,0,Herbarium Sheets/4000-1-11012_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7125_2.jpg,jpg,32611,31.8,33,0,0,Herbarium Sheets/4000-1-7125_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7103_1.jpg,jpg,48288,47.2,48,0,0,Herbarium Sheets/4000-1-7103_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10622_1.jpg,jpg,81219,79.3,81,0.1,0,Herbarium Sheets/4000-1-10622_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10667_1.jpg,jpg,77645,75.8,78,0.1,0,Herbarium Sheets/4000-1-10667_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10523_1.jpg,jpg,75043,73.3,75,0.1,0,Herbarium Sheets/4000-1-10523_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
