dcterms:identifier,dcterms:isPartOf,dcterms:provenance,dcterms:extent,dcterms:type,dcterms:medium,dcterms:spatial,dcterms:subject,dcterms:description,filename
17593,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Batac,Tinguian,"""Bamboo rice basket from Tinguian culture. The basket sits on a rectangular base and has a general bowl shape and a wide round opening at top. The majority of the basket is light brown but a darker brown decoration has been achieved by weaving dark bands horizontally and vertically.""",17593_1.jpeg
17594,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,"""Asia-Southeast Asia-Philippines-Camarines Norte-; ; San Jose","Camarines""",Hexagonal basket woven with hexagonal pattern and with undulating top.,17594_1.jpeg
17596,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Reed,"""Asia-Southeast Asia-Philippines-Albay-; ; Buro","Legaspi""","Bicol           ""One cylindrical sewing basket made of caragumoy. The base is roughly square but the body is round and straight forming a cylinder shape. Used by the Bicol.""",17596_1.jpeg
17597,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo,"""Asia-Southeast Asia-Philippines-Ilocos Sur-; ; Namitpit","Lepanto""",Rice basket of bamboo for uncooked rice.,17597_1.jpeg
17598,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Fiber; Rattan,"""Asia-Southeast Asia-Philippines-Mindoro Oriental-; ; Pinamalayan","Mindoro""","""1 Abaca contained of nipa and rattan. Used to hold abaca fibers. Open-weave basket with hexagonal base and round top.""",17598_1.jpeg
17602,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines-Quezon-; ; Lucban,Tagalog,Market basket of rattan. The basket is round with a slightly conical bottom and a very wide opening ringed with rigid bamboo.,17602_1.jpeg
17604,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Laoag,,One pack holder of rattan. Shaped like a purse. Main body has rattan woven in fancy interlocked knots. Handle made of rattan braid. Round bottom with star inside.,
17605,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan; Bamboo,Asia-Southeast Asia-Philippines-Agusan del Norte-; ; Amparo Settlement,Manobo,"""Utility basket of rattan and bamboo. Woven rattan basket round opening hexagonal bottom. There is a length of bamboo wrapped around the basket. This is wrapped over with rattan.""",
17612,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines--; ;,,Small covered (no cover present) basket of rattan and bamboo. Used for flowers.,17612_1.jpeg
17613,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo,Asia-Southeast Asia-Philippines--; ;,,1 square open weave basket of bamboo with small circular opening on top. A fish trap (?),17613_1.jpeg
17709,1587,Accession #1587 Donation 10/03/1944 (1587),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines--; ;,,"""One rattan tray. The overall shape is round and shallow with the base woven in a herringbone pattern. At the rim there is a thicker binding strip held in place by narrow lacing.""",17709_1.jpeg
23835,1475,Accession #1475 Donation 04/18/1942 (1475),1 ea,Basket,Bamboo,Asia-Southeast Asia-Philippines--; ; Central Luzon,,Large round basket with unfinished top. Frame pieces extend approximately 7 cm above woven portion. Filled with spools of cotton thread and wool yarn.,23835_1.jpeg
26644,3281,Accession #3281 UMMAA Expedition (3281),1 ea,Basket,Fiber,Asia-Southeast Asia-Philippines--; ;,,Small round basket of woven fiber. Has rounded bottom and thus does not stand.,
37326,2175,Accession #2175 Donation 1955 (2175),1 ea,Basket,Fiber,Asia-Southeast Asia-Philippines--; ;,,bask or hat of twilled basketry. Round. No bottom. Open at both ends. One opening is narrow while other is wide.,
37327,2175,Accession #2175 Donation 1955 (2175),1 ea,Basket,Grass,Asia-Southeast Asia-Philippines--; ;,,"""One grass basket from the Philippines. The bas of the basket is flat and the sides angle out to form a truncated cone shape. Made of coils of grass sewn together with two-ply thread the majority of the basket is natural interspersed with horizontal rings of green and red from the center of the base to the top. At the very center of the base is a hole approximately 1.5cm in diameter.""",37327_1.jpeg
47287,2558,Accession #2558 Donation 09/21/1959 (2558),1 ea,Basket making material,Bamboo,Asia-Southeast Asia-Philippines-Bulacan-; Central Luzon; Pulilan,,"""1 bamboo ring. One tan strip of bamboo bent into a circle and with the edges knotted together.""",47287_1.jpeg
92138,3461,Accession #3461 UMMAA Expedition 10/1979 (3461),1 ea,Basket,Balsa,Asia-Southeast Asia-Philippines--; ;,,"""1 man's travel basket. Called """"nead basket"""" made with water proof lejuco covering. Basket has a rectangular base made of a wide rigid strip of organic material. Body of the basket is made of basketry in a tightly woven zigzag pattern. A flap comes over the top of the basket opening to cover it and is attached to two straps of similar woven basketry. Another flap is attached to the cover flap and this outer flap is made of woven basketry covered with a shaggy plant material reminiscent of porcupine quills or grass. This shaggy material covers one entire side of the basket as well as the closure flap.""",
92297,3581,Accession #3581 Donation 07/10/1984 (3581),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines-Mindoro Oriental-; Mt. Halcon; Santa Rosa or Dulangan,Mangyan,"""Fine-weave rattan basket barrel-shaped. The base consists of a 25X25cm lattice of looser weave with ridging the circumference. Two 35 cm strips of rattan are placed diagonally across this square. Opening is circular bottom is square.""",92297_1.jpeg
92298,3581,Accession #3581 Donation 07/10/1984 (3581),1 ea,Basket,Rattan,Asia-Southeast Asia-Philippines-Mindoro Oriental-; Mt. Halcon; Santa Rosa or Dulangan,Mangyan,"""Fine-weave rattan basket conical in shape. The base is a 20X20cm square of looser weave. Two strips of rattan cross it diagonally from corner to corner and these strips continue up to the rim reinforcing the sides of the basket. A strap",92298_1.jpeg
92305,3581,Accession #3581 Donation 07/10/1984 (3581),1 ea,Basket,Bamboo,Asia-Southeast Asia-Philippines--; Luzon;,,"""Loose-weave bamboo basket with hinge top and single handle on top. The base and sides are square. The top is peaked and has a loop for shutting. Loop attached to lid. Can be tied to loop on body. The handle is formed from three separate pieces; on which runs from base-to-base up the center of the basket; the other two parallel to it . Running from corner-to-corner on either side to if. They are tied together at the top. Basket is rectangular in shape and natural tan color.""",92305_1.jpeg
17574-a,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Bamboo; Rattan; Bamboo,Asia-Southeast Asia-Philippines--; ;,,"""1 clothes basket of bamboo and rattan. Rectangular bottom made of bamboo design on edges of base made from crossed rattan. Elliptical opening of bamboo lashed with rattan.""",17574_1.jpeg
17595-a,1387,Accession #1387 Donation 04/29/1941 (1387),1 ea,Basket,Rattan,"""Asia-Southeast Asia-Philippines-Ilocos Sur-; ; Suyo","Tagudin""","""Basket. Bamboo rectangular base. Rectangular opening with slight rounding at corners. Body of woven rattan. Rim edged with bamboo. Rattan braid near bottom. Connected to b with a fiber cord. Carrying basket.""",17595_1.jpeg
