Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
17598            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6009
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Fiber; Rattan                , Asia-Southeast Asia-Philippines-Mindoro Oriental-  ,                      , Pinamalayan - Mindoro       ,         , "1 Abaca contained of nipa and rattan. Used to hold abaca fibers. Open-weave basket with hexagonal base and round top."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 
17602            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6099
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Quezon-            ,                      , Lucban                      , Tagalog , Market basket of rattan. The basket is round with a slightly conical bottom and a very wide opening ringed with rigid bamboo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 
17604            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6113
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Ilocos Norte-      ,                      , Laoag                       ,         , One pack holder of rattan. Shaped like a purse. Main body has rattan woven in fancy interlocked knots. Handle made of rattan braid. Round bottom with star inside.                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 
17605            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6129
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Agusan del Norte-  ,                      , Amparo Settlement           , Manobo  , Utility basket of rattan and bamboo. Woven rattan basket round opening hexagonal bottom. There is a length of bamboo wrapped around the basket. This is wrapped over with rattan.                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
17612            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6344
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Small covered (no cover present) basket of rattan and bamboo. Used for flowers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 
17613            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6651
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , 1 square open weave basket of bamboo with small circular opening on top. A fish trap (?)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , 
17709            , Asian Ethnology             , Accession Number: 1587   , Accession #1587 Donation 10/03/1944 (1587)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , One rattan tray. The overall shape is round and shallow with the base woven in a herringbone pattern. At the rim there is a thicker binding strip held in place by narrow lacing.                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
23835            , Ethnology & Material Culture, Accession Number: 1475   , Accession #1475 Donation 04/18/1942 (1475)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--                  ,                      , Central Luzon               ,         , Large round basket with unfinished top. Frame pieces extend approximately 7 cm above woven portion. Filled with spools of cotton thread and wool yarn.                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "spools of thread and yarn have no numbers will need to be assigned numbers in the future.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      catalog card says ""Turned in by V. Jones June 1958"""
26644            , Asian Ethnology             , Accession Number: 3281   , Accession #3281 UMMAA Expedition (3281)         , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Small round basket of woven fiber. Has rounded bottom and thus does not stand.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 
37326            , Ethnology & Material Culture, Accession Number: 2175   , Accession #2175 Donation 1955 (2175)            , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , bask or hat of twilled basketry. Round. No bottom. Open at both ends. One opening is narrow while other is wide.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 
