dcterms:identifier       , dcterms:isPartOf, dcterms:identifier       , dcterms:provenance                              , dcterms:extent        , dcterms:isPartOf, dcterms:alternative                                   , dcterms:type          , dcterms:medium               , dcterms:temporal, dcterms:provenance                              , dcterms:spatial             , dcterms:spatial             , dcterms:spatial             , dcterms:subject, dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , dcterms:description
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6113 Number Type: original numbers"                        , Basket                , Rattan                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Laoag                       , Laoag                       , Laoag                       ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6129 Number Type: original numbers"                        , Basket                , Rattan; Bamboo               ,                 , Accession #1387 Donation 04/29/1941 (1387)      , Amparo Settlement           , Amparo Settlement           , Amparo Settlement           , Manobo         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6344 Number Type: original numbers"                        , Basket                , Rattan                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1387   , Ethnographic    , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: Coo6651 Number Type: original numbers"                        , Basket                , Bamboo                       ,                 , Accession #1387 Donation 04/29/1941 (1387)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1587   , Ethnographic    , Accession Number: 1587   , Accession #1587 Donation 10/03/1944 (1587)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Rattan                       ,                 , Accession #1587 Donation 10/03/1944 (1587)      ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1475   , Ethnographic    , Accession Number: 1475   , Accession #1475 Donation 04/18/1942 (1475)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Bamboo                       ,                 , Accession #1475 Donation 04/18/1942 (1475)      , Central Luzon               , Central Luzon               , Central Luzon               ,                , "spools of thread and yarn have no numbers will need to be assigned numbers in the future.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      catalog card says ""Turned in by V. Jones June 1958""", "spools of thread and yarn have no numbers will need to be assigned numbers in the future.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      catalog card says ""Turned in by V. Jones June 1958"""
Accession Number: 3281   , Ethnographic    , Accession Number: 3281   , Accession #3281 UMMAA Expedition (3281)         , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Fiber                        ,                 , Accession #3281 UMMAA Expedition (3281)         ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 2175   , Ethnographic    , Accession Number: 2175   , Accession #2175 Donation 1955 (2175)            , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Fiber                        ,                 , Accession #2175 Donation 1955 (2175)            ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 2175   , Ethnographic    , Accession Number: 2175   , Accession #2175 Donation 1955 (2175)            , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Grass                        ,                 , Accession #2175 Donation 1955 (2175)            ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 2558   , Ethnographic    , Accession Number: 2558   , Accession #2558 Donation 09/21/1959 (2558)      , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket making material, Bamboo                       ,                 , Accession #2558 Donation 09/21/1959 (2558)      , Pulilan                     , Pulilan                     , Pulilan                     ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
